"E01.01.30.10";"\RSen_10_Model families\Electrical Equipment\RSen_61_EE_FB_hv-cell_gen_witas.rfa";"RSen_61_EE_FB_hv-cell_gen_witas.rfa";"E01.01.30.10__KxN__hv cabin_gen__";"KxN";"False";"AANSLUITING :: Hoogspanning :: Hoogspanningsmateriaal type AA20 / AA15 / AA35 :: Lusschakelaar";"RACCORDEMENT :: Haute tension ::  :: Interrupteur de boucle"
"E06.30.01.15";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_motion detector 360 - high current_gen_witas.rfa";"RSen_62_LD_FB_motion detector 360 - high current_gen_witas.rfa";"E06.30.01.15__T2-PMUS__motion detector 360 - high current_gen__";"T2-PMUS";"True";"BEDIENINGSAPPARATUUR :: Sensoren :: Bewegingsmelders :: type T2-EMUS = 1-lichtschakelkanaal, plafond inbouw, klein bereik, met micro";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de mouvement :: type T2-EMUS = 1 canal de commutation lumineuse, encastré dans le plafond, faible portée, avec micro"
"E06.30.01.16";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_motion detector 360 - high current_gen_witas.rfa";"RSen_62_LD_FB_motion detector 360 - high current_gen_witas.rfa";"E06.30.01.16__T2-PMUS-H__motion detector 360 - high current_gen__";"T2-PMUS-H";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Bewegingsmelders :: type T2-PMUSH = 1-lichtschakelkanaal, plafond opbouw hermetisch, klein bereik, met micro";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de mouvement :: type T2-PMH = 1 canal de commutation lumineuse, plafond en saillie hermétique, faible portée, avec micro"
"E06.30.01.20";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_motion detector 360 - high current_gen_witas.rfa";"RSen_62_LD_FB_motion detector 360 - high current_gen_witas.rfa";"E06.30.01.20__T3-EM__motion detector 360 - high current_gen__";"T3-EM";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Bewegingsmelders :: type T3-EM = 1-lichtschakelkanaal, plafond inbouw, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de mouvement :: type T3-EM = 1 canal de commutation lumineuse, encastré dans le plafond, grand portée"
"E06.30.01.21";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_motion detector 360 - high current_gen_witas.rfa";"RSen_62_LD_FB_motion detector 360 - high current_gen_witas.rfa";"E06.30.01.21__T3-PM__motion detector 360 - high current_gen__";"T3-PM";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Bewegingsmelders :: type T3-PM = 1-lichtschakelkanaal, plafond opbouw, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de mouvement :: type T3-PM = 1 canal de commutation lumineuse, plafond en saillie, grand portée"
"E06.30.01.22";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_motion detector 360 - high current_gen_witas.rfa";"RSen_62_LD_FB_motion detector 360 - high current_gen_witas.rfa";"E06.30.01.22__T3-PMH__motion detector 360 - high current_gen__";"T3-PMH";"True";"BEDIENINGSAPPARATUUR :: Sensoren :: Bewegingsmelders :: type T3-PMH = 1-lichtschakelkanaal, plafond opbouw hermetisch, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de mouvement :: Type T3-PMH = 1 canal de commutation lumineuse, plafond en saillie, hermétique, grand portée"
"E06.30.01.40";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_motion detector - high current_gen_witas.rfa";"RSen_62_LD_FB_motion detector - high current_gen_witas.rfa";"E06.30.01.40__EM__motion detector - high current_gen__";"EM";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Bewegingsmelders :: Wand inbouw (index EM)";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de mouvement :: Mural encastré"
"E06.30.01.55";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_motion detector - high current_gen_witas.rfa";"RSen_62_LD_FB_motion detector - high current_gen_witas.rfa";"E06.30.01.55__PM__motion detector - high current_gen__";"PM";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Bewegingsmelders :: Opbouwbewegingsmelder IP 55 (index PM)";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de mouvement :: Détecteur de mouvement en applique IP 55 (index PM)"
"E06.30.10.10";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.10__T12-EP__presence detector ceiling_gen__";"T12-EP";"True";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T2-EP = 1-lichtschakelkanaal, plafond inbouw, klein bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T2-EP = 1-lichtschakelkanaal, plafond inbouw, klein bereik"
"E06.30.10.11";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.11__T12-PP__presence detector ceiling_gen__";"T12-PP";"True";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T2-PP = 1-lichtschakelkanaal, plafond opbouw, klein bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T2-PP = 1-Canal de commutation lumineuse, plafond en saillie, faible portée"
"E06.30.10.12";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.12__T12-PPH__presence detector ceiling_gen__";"T12-PPH";"True";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T2-PPH = 1-lichtschakelkanaal, plafond opbouw hermetisch, klein bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T2-PPH = 1-lichtschakelkanaal, plafond opbouw hermetisch, klein bereik"
"E06.30.10.20";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.20__T12-EP-dali__presence detector ceiling_gen__";"T12-EP-dali";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T2-EP-dali = 1-DALI kanaal, plafond inbouw, klein bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T2-EP-dali = 1-DALI kanaal, plafond inbouw, klein bereik"
"E06.30.10.21";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.21__T12-PP-dali__presence detector ceiling_gen__";"T12-PP-dali";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T2-PP-dali = 1-DALI kanaal, plafond opbouw, klein bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T2-PP-dali = 1-DALI kanaal, plafond opbouw, klein bereik"
"E06.30.10.30";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.30__T13-EP__presence detector ceiling_gen__";"T13-EP";"True";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T3-EP = 1-lichtschakelkanaal, plafond inbouw, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T3-EP = 1-lichtschakelkanaal, plafond inbouw, groot bereik"
"E06.30.10.31";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.31__T13-PP__presence detector ceiling_gen__";"T13-PP";"True";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T3-PP = 1-lichtschakelkanaal, plafond opbouw, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T3-PP = 1-lichtschakelkanaal, plafond opbouw, groot bereik"
"E06.30.10.32";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.32__T13-PPH__presence detector ceiling_gen__";"T13-PPH";"True";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T3-PPH = 1-lichtschakelkanaal, plafond opbouw hermetisch, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T3-PPH = 1-lichtschakelkanaal, plafond opbouw hermetisch, groot bereik"
"E06.30.10.35";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.35__T13-EP-2__presence detector ceiling_gen__";"T13-EP-2";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T3-EP-2 = 2-lichtschakelkanalen, plafond inbouw, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: T13-duo = 2-lichtschakelkanalen, plafond inbouw, groot bereik"
"E06.30.10.36";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.36__T13-PP-2__presence detector ceiling_gen__";"T13-PP-2";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T3-PP-2 = 2-lichtschakelkanalen, plafond opbouw, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T3-PP-2 = 2-lichtschakelkanalen, plafond opbouw, groot bereik"
"E06.30.10.40";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.40__T13-EP-3__presence detector ceiling_gen__";"T13-EP-3";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T3-EP-3 = 3-lichtschakelkanalen, plafond inbouw, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T3-EP-3 = 3-lichtschakelkanalen, plafond inbouw, groot bereik"
"E06.30.10.41";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.41__T13-PP-3__presence detector ceiling_gen__";"T13-PP-3";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T3-PP-3 = 3-lichtschakelkanalen, plafond opbouw, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T3-PP-3 = 3-lichtschakelkanalen, plafond opbouw, groot bereik"
"E06.30.10.50";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.50__T13-EP-dali__presence detector ceiling_gen__";"T13-EP-dali";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T3-EP-dali = 1-DALI kanaal, plafond inbouw, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T3-EP-dali = 1-DALI kanaal, plafond inbouw, groot bereik"
"E06.30.10.51";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.51__T13-PP-dali__presence detector ceiling_gen__";"T13-PP-dali";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T3-PP-dali = 1-DALI kanaal, plafond opbouw, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T3-PP-dali = 1-DALI kanaal, plafond opbouw, groot bereik"
"E06.30.10.60";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.60__T13-EP-2-dali__presence detector ceiling_gen__";"T13-EP-2-dali";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T3-EP-2-dali = 2-DALI kanalen, plafond inbouw, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T3-EP-2-dali = 2-DALI kanalen, plafond inbouw, groot bereik"
"E06.30.10.61";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.61__T13-PP-2-dali__presence detector ceiling_gen__";"T13-PP-2-dali";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T3-PP-2-dali = 2-DALI kanalen, plafond opbouw, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T3-PP-2-dali = 2-DALI kanalen, plafond opbouw, groot bereik"
"E06.30.10.65";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.65__T13-EP-2-1-dali__presence detector ceiling_gen__";"T13-EP-2-1-dali";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T3-EP-2-1-dali = 2-DALI kanalen en 1 schakelkanaal, plafond inbouw, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T3-EP-2-1-dali = 2-DALI kanalen en 1 schakelkanaal, plafond inbouw, groot bereik"
"E06.30.10.66";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.66__T13-PP-2-1-dali__presence detector ceiling_gen__";"T13-PP-2-1-dali";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T3-PP-2-1-dali = 2-DALI kanalen en 1 schakelkanaal, plafond opbouw, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T3-PP-2-1-dali = 2-DALI kanalen en 1 schakelkanaal, plafond opbouw, groot bereik"
"E06.30.10.70";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.70__T13-EP-3-dali__presence detector ceiling_gen__";"T13-EP-3-dali";"True";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T3-EP-3-dali = 3-DALI zones en 1 schakelkanaal, plafond inbouw, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T3-EP-3-dali = 3-DALI zones en 1 schakelkanaal, plafond inbouw, groot bereik"
"E06.30.10.71";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_presence detector_gen_witas.rfa";"RSen_62_LD_FB_presence detector_gen_witas.rfa";"E06.30.10.71__T13-PP-3-dali__presence detector ceiling_gen__";"T13-PP-3-dali";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Aanwezigheidsdetectoren :: type T3-PP-3-dali = 3-DALI zones en 1 schakelkanaal, plafond opbouw, groot bereik";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Détecteurs de présence :: type T3-PP-3-dali = 3-DALI zones en 1 schakelkanaal, plafond opbouw, groot bereik"
"E06.30.50";"\RSen_10_Model families\Electrical Devices\Lighting Devices\Immotics\RSen_67_LD_FB_light sensor_gen_witas.rfa";"RSen_67_LD_FB_light sensor_gen_witas.rfa";"E06.30.50__PLS__light sensor_gen__";"PLS";"False";"BEDIENINGSAPPARATUUR :: Sensoren :: Lichtsensor voor daglichtcompensatie";"APPAREILLAGE DE COMMANDE :: Détecteurs :: Sonde crépusculaire pour compensation de la lumière de jour"
"E06.40.01";"\RSen_10_Model families\Electrical Devices\Lighting Devices\Immotics\RSen_67_LD_FB_control panel_gen_witas.rfa";"RSen_67_LD_FB_control panel_gen_witas.rfa";"E06.40.01__ELC__control panel_gen__";"ELC";"False";"BEDIENINGSAPPARATUUR :: Aansteekpanelen :: Modulair aansteekpaneel inbouw";"APPAREILLAGE DE COMMANDE :: Panneaux d'allumage :: Panneau d'allumage modulaire encastré"
"E06.40.02";"\RSen_10_Model families\Electrical Devices\Lighting Devices\Immotics\RSen_67_LD_FB_control panel_gen_witas.rfa";"RSen_67_LD_FB_control panel_gen_witas.rfa";"E06.40.02__PLC__control panel_gen__";"PLC";"False";"BEDIENINGSAPPARATUUR :: Aansteekpanelen :: Modulair aansteekpaneel opbouw";"APPAREILLAGE DE COMMANDE :: Panneaux d'allumage :: Panneau d'allumage modulaire en saillie"
"E06.40.10.01";"\RSen_10_Model families\Electrical Devices\Lighting Devices\Immotics\RSen_67_LD_FB_control panel_gen_witas.rfa";"RSen_67_LD_FB_control panel_gen_witas.rfa";"E06.40.10.01__ELV__control panel_gen__";"ELV";"False";"BEDIENINGSAPPARATUUR :: Aansteekpanelen :: Synoptisch aansteekpaneel :: Inbouw versie";"APPAREILLAGE DE COMMANDE :: Panneaux d'allumage :: Panneau d'allumage synoptique :: Version encastrée"
"E06.40.10.02";"\RSen_10_Model families\Electrical Devices\Lighting Devices\Immotics\RSen_67_LD_FB_control panel_gen_witas.rfa";"RSen_67_LD_FB_control panel_gen_witas.rfa";"E06.40.10.02__PLV__control panel_gen__";"PLV";"False";"BEDIENINGSAPPARATUUR :: Aansteekpanelen :: Synoptisch aansteekpaneel :: Opbouw versie";"APPAREILLAGE DE COMMANDE :: Panneaux d'allumage :: Panneau d'allumage synoptique :: Version en saillie"
"E06.50.80.01";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_column_witas.rfa";"RSen_62_EE_FB_column_witas.rfa";"E06.50.80.01__S__column_gen__";"S";"True";"BEDIENINGSAPPARATUUR :: Speciale contactdoos uitvoeringen :: Energiebolder :: Kleine versie";"APPAREILLAGE DE COMMANDE :: Prises de courant spéciales :: Bornes de distribution :: Version petite"
"E06.50.80.02";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_column_witas.rfa";"RSen_62_EE_FB_column_witas.rfa";"E06.50.80.02__M__column_gen__";"M";"True";"BEDIENINGSAPPARATUUR :: Speciale contactdoos uitvoeringen :: Energiebolder :: Middelgrote versie";"APPAREILLAGE DE COMMANDE :: Prises de courant spéciales :: Bornes de distribution :: Version moyenne"
"E06.50.80.03";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_column_witas.rfa";"RSen_62_EE_FB_column_witas.rfa";"E06.50.80.03__B__column_gen__";"B";"True";"BEDIENINGSAPPARATUUR :: Speciale contactdoos uitvoeringen :: Energiebolder :: Grote versie";"APPAREILLAGE DE COMMANDE :: Prises de courant spéciales :: Bornes de distribution :: Version grande"
"E06.60.02";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_switches - high current_gen_witas.rfa";"RSen_62_LD_FB_switches - high current_gen_witas.rfa";"E06.60.02____key switch_gen__";"";"False";"BEDIENINGSAPPARATUUR :: Speciale bediening :: Sleutelschakelaar";"APPAREILLAGE DE COMMANDE :: Commande spéciale :: Interrupteur à clé"
"E06.60.05";"\RSen_10_Model families\Electrical Devices\Security Devices\RSen_68_SD_FB_emergency stop_gen_witas.rfa";"RSen_68_SD_FB_emergency stop_gen_witas.rfa";"E06.60.05____emergency stop_gen__";"";"False";"BEDIENINGSAPPARATUUR :: Speciale bediening :: Noodstop";"APPAREILLAGE DE COMMANDE :: Commande spéciale :: Bouton d'arrêt d'urgence"
"E06.60.07";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_switches - high current_gen_witas.rfa";"RSen_62_LD_FB_switches - high current_gen_witas.rfa";"E06.60.07____door contact_gen__";"";"False";"BEDIENINGSAPPARATUUR :: Speciale bediening :: Deurcontact";"APPAREILLAGE DE COMMANDE :: Commande spéciale :: Contact de porte"
"E07.10.10.01";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_junction box m-f_gen_witas.rfa";"RSen_62_EE_FB_junction box m-f_gen_witas.rfa";"E07.10.10.01__PL__mf junction box_gen__";"PL";"False";"KABELGANGEN :: Verzonken vloergootsysteem :: Trekdoos :: Kunststof dekselrand: in droog te reinigen vloer";"CHEMINS DE CÂBLES :: Système de conduits sous chape :: Boîtier de tirage :: Bord de couvercle en matière synthétique : pour sols nettoyés au sec"
"E07.10.10.02";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_junction box m-f_gen_witas.rfa";"RSen_62_EE_FB_junction box m-f_gen_witas.rfa";"E07.10.10.02__RVS__";"RVS";"False";"KABELGANGEN :: Verzonken vloergootsysteem :: Trekdoos :: RVS dekselrand; in nat te reinigen vloer";"CHEMINS DE CÂBLES :: Système de conduits sous chape :: Boîtier de tirage :: Bord de couvercle en acier inoxydable : pour sols nettoyés à l'eau"
"E07.10.20.01";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"E07.10.20.01__PL__4x3 modules - rectangular lid_gen__";"PL";"False";"KABELGANGEN :: Verzonken vloergootsysteem :: Vloerdoos met kunststof dekselrand :: Vierkant";"CHEMINS DE CÂBLES :: Système de conduits sous chape :: Boitier de sol avec bord de couvercle en matière synthétique :: Carré"
"E07.10.20.02";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"E07.10.20.02__PL__4x3 modules - round lid_gen__";"PL";"False";"KABELGANGEN :: Verzonken vloergootsysteem :: Vloerdoos met kunststof dekselrand :: Rond";"CHEMINS DE CÂBLES :: Système de conduits sous chape :: Boitier de sol avec bord de couvercle en matière synthétique :: Rond"
"E07.10.20.03";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"E07.10.20.03__PL__4x2 modules - rectangular lid_gen__";"PL";"False";"KABELGANGEN :: Verzonken vloergootsysteem :: Vloerdoos met kunststof dekselrand :: Rechthoekig";"CHEMINS DE CÂBLES :: Système de conduits sous chape :: Boitier de sol avec bord de couvercle en matière synthétique :: Rectangulaire"
"E07.10.21.01";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"E07.10.21.01__RVS__4x3 modules - rectangular lid_gen__";"RVS";"False";"KABELGANGEN :: Verzonken vloergootsysteem :: Vloerdoos met RVS dekselrand :: Vierkant";"CHEMINS DE CÂBLES :: Système de conduits sous chape :: Boitier de sol avec bord de couvercle en acier inoxydable :: Carré"
"E07.10.21.02";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"E07.10.21.02__RVS__4x3 modules - round lid_gen__";"RVS";"False";"KABELGANGEN :: Verzonken vloergootsysteem :: Vloerdoos met RVS dekselrand :: Rond";"CHEMINS DE CÂBLES :: Système de conduits sous chape :: Boitier de sol avec bord de couvercle en acier inoxydable :: Rond"
"E07.10.21.03";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"E07.10.21.03__RVS__4x2 modules - rectangular lid_gen__";"RVS";"False";"KABELGANGEN :: Verzonken vloergootsysteem :: Vloerdoos met RVS dekselrand :: Rechthoekig";"CHEMINS DE CÂBLES :: Système de conduits sous chape :: Boitier de sol avec bord de couvercle en acier inoxydable :: Rectangulaire"
"E07.10.22.01";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"E07.10.22.01__RVS-H__4x3 modules - rectangular lid_gen__";"RVS-H";"False";"KABELGANGEN :: Verzonken vloergootsysteem :: Vloerdoos met RVS dekselrand voor nat te reinigen vloer :: Vierkant";"CHEMINS DE CÂBLES :: Système de conduits sous chape :: Boîtier de sol avec rebord de couvercle en acier inoxydable pour sols nettoyés à l'eau :: Carré"
"E07.10.22.02";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"E07.10.22.02__RVS-H__4x3 modules - round lid_gen__";"RVS-H";"False";"KABELGANGEN :: Verzonken vloergootsysteem :: Vloerdoos met RVS dekselrand voor nat te reinigen vloer :: Rond";"CHEMINS DE CÂBLES :: Système de conduits sous chape :: Boîtier de sol avec rebord de couvercle en acier inoxydable pour sols nettoyés à l'eau :: Rond"
"E07.10.22.03";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"E07.10.22.03__RVS-H__4x2 modules - rectangular lid_gen__";"RVS-H";"False";"KABELGANGEN :: Verzonken vloergootsysteem :: Vloerdoos met RVS dekselrand voor nat te reinigen vloer :: Rechthoekig";"CHEMINS DE CÂBLES :: Système de conduits sous chape :: Boîtier de sol avec rebord de couvercle en acier inoxydable pour sols nettoyés à l'eau :: Rectangulaire"
"E07.11.03.01";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"E07.11.03.01__OF__4x3 modules - round lid_gen__";"OF";"False";"KABELGANGEN :: Open vloergootsysteem :: Vloerdozen :: Rond";"CHEMINS DE CÂBLES :: Système de conduits ouvert :: Boitier de sol :: Rond"
"E07.11.03.02";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"RSen_62_EE_FB_floor box - 1 connection_gen_witas.rfa";"E07.11.03.02__OF__4x3 modules - rectangular lid_gen__";"OF";"False";"KABELGANGEN :: Open vloergootsysteem :: Vloerdozen :: Vierkant";"CHEMINS DE CÂBLES :: Système de conduits ouvert :: Boitier de sol :: Carré"
